City_ID,City,Country,Max Temp F°,Weather Description,Lat,Lng,Hotel Name
482,Albenga,IT,72.18,overcast clouds,44.0529,8.216,Albergo Marisa Snc dei Fratelli Ancona
484,Sioux Lookout,CA,62.67,mist,50.1001,-91.917,Knobby's Fly-In Camps
487,Bokoro,TD,79.59,overcast clouds,12.3807,17.0568, 
488,Cabo San Lucas,MX,86.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
490,Kelvington,CA,78.46,broken clouds,52.1667,-103.5343,Sportsman Motel
491,Nortelandia,BR,73.92,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
493,Lingao,CN,86.49,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
494,Conceicao Do Araguaia,BR,78.93,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
495,Belawan,ID,80.89,overcast clouds,3.7755,98.6832,Lilik Hidayat Pulungan
497,La Romana,DO,82.13,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
498,Belmonte,BR,72.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
499,Kulhudhuffushi,MV,81.37,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
500,Darab,IR,87.44,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
502,Cap-Aux-Meules,CA,66.25,overcast clouds,47.3821,-61.8597,Auberge Madeli
504,Yaan,NG,70.45,light rain,7.3833,8.5667, 
505,Podlesnoye,RU,62.73,overcast clouds,51.8161,47.009,Gostinnitsa
506,Tevaitoa,PF,79.03,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
507,Waingapu,ID,82.53,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
508,Anito,PH,89.73,overcast clouds,12.4497,125.2886,The Yellow House
509,Mabini,PH,83.43,overcast clouds,15.6,120.9833,Anya's Private Pool
510,Ippy,CF,68.9,overcast clouds,6.2679,21.2247, 
512,Reconquista,AR,61.43,overcast clouds,-29.15,-59.65,Grand Hotel
513,Beyneu,KZ,86.81,overcast clouds,45.3167,55.2,NUR
514,Palmer,US,68.61,broken clouds,42.1584,-72.3287,Wedgewood Motel
515,Bantogon,PH,83.95,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
516,Tambura,SS,69.06,clear sky,5.6,27.4667,Rikito Lodge
518,Rosamorada,MX,80.8,overcast clouds,22.1222,-105.2058,Hotel Gonzalez
519,Punalur,IN,76.68,overcast clouds,9.0,76.9333,Motel Araam
521,Surt,LY,83.62,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
522,Katherine,AU,73.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
523,Kankan,GN,70.68,overcast clouds,10.3854,-9.3057,Hotel Bate
525,Groningen,NL,62.04,clear sky,53.25,6.75,Bed&Breakfast Lageland
526,Coahuayana,MX,78.4,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
527,Hamilton,US,78.19,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
528,Asau,RO,64.4,light rain,46.4333,26.4,Casa Mika Ciobanus
529,Tessalit,ML,82.26,overcast clouds,20.1986,1.0114, 
530,Road Town,VG,83.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
531,La Ronge,CA,70.05,smoke,55.1001,-105.2842,Northland Motor Hotel
533,Madisonville,US,74.93,overcast clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
534,Matagami,CA,62.71,thunderstorm with rain,49.7502,-77.6328,Hôtel Matagami
535,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
536,Bahar,IR,68.18,few clouds,34.9072,48.4414,نمایندگی سایپا اسدی 20406
537,Torrington,US,70.23,clear sky,41.8007,-73.1212,The Yankee Pedlar Inn
538,Todos Santos,MX,86.0,broken clouds,23.45,-110.2167,Hotel California Todos Santos
539,Tomatlan,MX,77.11,overcast clouds,19.9333,-105.25,El Salvial
540,Le Port,RE,66.16,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
